Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
00002,34,2,1,4.275,3.5400000000000005,4.93,4.99
00003,27,2,1,5.04,4.795,4.13,4.83
00005,25,2,1,4.619999999999999,2.5599999999999996,5.65,5.029999999999999
00006,24,2,1,NA,3.62,NA,4.9399999999999995
00007,35,2,1,4.14,4.825,4.79,4.75
00010,39,2,1,5.705,4.075,5.04,4.8
00012,46,2,1,3.92,4.12,4.73,4.68
00014,43,2,1,5.01,5.57,5.04,5.26
00015,31,2,1,5.36,5.215,5.57,5.8
00016,48,2,1,5.5,5.1,5.470000000000001,6.1899999999999995
00017,40,2,3,4.535,4.245,5.55,6.3
00019,45,2,3,NA,3.435,NA,4.64
00028,37,2,1,NA,4.615,5.33,5.39
00029,36,2,1,4.27,2.2550000000000003,5.54,2.6699999999999995
00048,26,2,1,4.5600000000000005,4.82,5.0600000000000005,4.46
00051,32,2,1,4.5600000000000005,5.4350000000000005,5.38,6.529999999999999
00058,30,2,1,4.315,4.0600000000000005,4.489999999999999,4.66
00078,42,2,1,3.525,4.845,6.18,5.71
00083,48,2,3,NA,2.35,NA,5.470000000000001
00101,29,2,3,NA,4.38,NA,4.64
00113,29,2,3,5.0600000000000005,2.46,6.720000000000001,6.279999999999999
00125,48,2,3,NA,2.8850000000000002,NA,4.07
00128,33,2,3,3.99,5.08,5.48,5.62
00138,43,2,3,4.975,5.455,5.220000000000001,5.29
00150,35,1,1,4.525,4.275,5.64,5.14
00151,45,1,1,NA,4.96,NA,5.86
00173,46,1,1,4.52,7.39,2.76,3.92
00186,44,1,1,5.01,4.345,4.96,5.96
00188,29,1,1,4.65,NA,5.85,NA
00194,31,1,1,2.16,3.455,5.1,5.45
00198,36,1,3,3.8899999999999997,NA,5.07,NA
00209,28,1,3,NA,3.7350000000000003,NA,5.5600000000000005
00239,26,1,3,3.995,NA,5.82,NA
00256,47,2,1,4.975,4.135,5.46,5.5
00264,38,2,1,3.1550000000000002,3.435,3.1900000000000004,2.83
00286,48,2,1,5.595,5.34,4.3,5.23
00296,34,2,1,5.325,4.545,5.28,5.25
00304,30,2,1,NA,NA,NA,6.15
00307,29,2,1,1.6549999999999998,2.975,4.14,5.84
00310,37,2,1,3.65,4.1,5.34,4.3
00313,36,2,3,4.88,4.614999999999999,6.029999999999999,4.98
00327,44,2,3,NA,4.98,NA,6.14
00331,38,2,3,NA,3.67,NA,4.41
00352,48,2,3,3.415,3.555,3.5300000000000002,3.43
00359,49,2,3,4.345,6.05,4.36,4.3
00360,49,2,3,3.925,NA,3.9799999999999995,NA
00362,22,2,3,NA,4.26,NA,6.029999999999999
00364,25,2,3,4.51,4.37,4.93,4.47
00379,36,1,1,5.36,5.115,6.4,4.9
00394,28,1,1,3.915,1.995,7.47,6.3
00395,27,1,1,NA,3.625,NA,5
00407,24,1,1,3.4799999999999995,2.88,3.45,4.279999999999999
00422,29,1,1,2.695,NA,5.82,NA
00430,26,1,1,2.835,NA,5.04,NA
00443,41,1,3,NA,4.545,NA,4.81
00450,37,1,3,NA,3.35,6.51,6.33
00467,49,1,3,4.41,4.305,4.8100000000000005,5.56
00473,36,1,3,3.3,3.15,4.85,4.95
00478,43,1,3,1.19,NA,4.5,NA
00500,45,1,3,3.1350000000000002,4.765,4.25,5.34
00505,49,2,1,4.43,NA,4.38,NA
