Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
00002,34,2,1,-0.14832377276121267,-0.8882644158023182,-0.15941475898969748,-0.10250123259116742
00003,27,2,1,0.6874921108322286,0.3568542981149186,-0.9151753040368625,-0.2686741797939274
00005,25,2,1,0.3037234931357053,-2.102121519761124,0.6274588357065116,-0.20859431638932915
00006,24,2,1,NA,-1.1145842843680778,NA,-0.3438625958760765
00007,35,2,1,-0.38707727662998065,0.24851629295618727,-0.36423070461857193,-0.43509544063226324
00010,39,2,1,1.046172242266466,-0.720518881878471,-0.1965366673217489,-0.5219291036262952
00012,46,2,1,-0.5181457018850815,-0.23415477018156564,-0.368674179793927,-0.3662041285706524
00014,43,2,1,0.5520917259493855,1.1862013715701347,-0.07102007419940388,0.19527702982113282
00015,31,2,1,0.9547919183908072,0.7093321765493471,0.4919023108818671,0.6591440143206941
00016,48,2,1,0.7489469054939781,0.6108009866872911,0.17584915878602775,1.059432259658591
00017,40,2,3,-0.07112756529211232,-0.5389907147819105,0.34638571775952176,0.9852726681102326
00019,45,2,3,NA,-0.8812765068642942,NA,-0.38254116429348917
00028,37,2,1,NA,0.2526108247494622,0.11815512148920405,0.33865174876039894
00029,36,2,1,-0.35259637543005734,-1.8125974737813355,0.32609747242162473,-2.1971886596912427
00048,26,2,1,-0.11529656787147805,-0.239019844085579,-0.1868249126596457,-1.0265410290326493
00051,32,2,1,-0.1317653780094222,0.4550304445765536,0.12288684200245661,1.0928425485892566
00058,30,2,1,-0.14784891709199735,-0.29580165119535967,-0.6241065478007739,-0.38723295310444167
00078,42,2,1,-1.2079374033542833,0.3623885107424691,0.8971662286577137,0.5835475577937503
00083,48,2,3,NA,-2.325296567871478,NA,0.22317508734035443
00101,29,2,3,NA,0.20206149829443756,NA,-0.2961199034551531
00113,29,2,3,0.48845693599757106,-1.4725532306501934,1.5379910329691067,1.4971749520795137
00125,48,2,3,NA,-1.6387835146023912,NA,-1.082173055550992
00128,33,2,3,-0.5634273728506909,0.7900735893564167,0.309308102840793,0.6139200282471466
00138,43,2,3,0.5335605360873292,0.9196883183010478,0.11926817113849363,0.13062517271247953
00150,35,1,1,0.19225468299776194,-0.11209239045745406,0.6071705903686138,0.07321938075355319
00151,45,1,1,NA,0.291290956183699,NA,0.617290385475513
00173,46,1,1,-0.005430395616186398,4.127727341964137,-2.3932018800847827,-0.4440934626680727
00186,44,1,1,0.4318694119423922,0.38774355414289,-0.22612426516605325,1.1617425840726685
00188,29,1,1,0.14433217654934763,NA,0.709144014320694,NA
00194,31,1,1,-1.7363218483467158,-0.484140754705371,0.3398090918228876,0.6630596539443556
00198,36,1,3,-0.5547332259402594,NA,-0.03278947792908611,NA
00209,28,1,3,NA,-0.9633529020645999,NA,0.2987715438672985
00239,26,1,3,-0.3542141271401825,NA,0.7768823450307173,NA
00256,47,2,1,0.28817526503196017,-0.1779827448367054,0.20597331560382576,0.4795164847740907
00264,38,2,1,-1.1612765068642938,-0.9553861524850431,-1.8325411642934881,-2.238838268314026
00286,48,2,1,0.6973744952662737,0.9759639437356674,-1.0857162247212577,0.17762292422660997
00296,34,2,1,0.891794941156302,0.2781299235495385,0.18441229380744184,0.2583235717202026
00304,30,2,1,NA,NA,NA,1.116141765834825
00307,29,2,1,-3.1339313578232937,-1.4565581778299037,-1.1778138054911367,0.7454411183412312
00310,37,2,1,-0.7947332259402592,-0.1240511700918068,0.23721052207091345,-0.6649269904012651
00313,36,2,3,0.40397603479764677,0.05663198410792499,0.9076628559289085,-0.1937783707605761
00327,44,2,3,NA,0.10213706743180799,NA,0.7666296696842189
00331,38,2,3,NA,-0.6775672461263883,NA,-0.6320888304354932
00352,48,2,3,-0.6377755446571862,-0.5883540004158795,-1.3279292388871342,-1.4845145882455688
00359,49,2,3,-0.27759637543005716,1.5459790575631411,-0.8539025275783751,-0.8398271611455164
00360,49,2,3,-0.6910088513748793,NA,-1.2297872294432168,NA
00362,22,2,3,NA,0.15781802492898073,NA,1.1412060250991733
00364,25,2,3,0.11961384751495661,-0.2542432564438512,-0.13883826831402618,-0.7449313521121653
00379,36,1,1,0.7258754574733823,0.49405050558373764,1.178895700685097,-0.3128737030445853
00394,28,1,1,-0.618664800685158,-2.5090209424368584,2.311653997246269,1.1601728388544839
00395,27,1,1,NA,-0.7571517474160709,NA,-0.06369414564507724
00407,24,1,1,-1.0339022285196253,-1.5861426791195865,-1.696000108348254,-0.8361641968683532
00422,29,1,1,-1.652567246126388,NA,0.7779111695645071,NA
00430,26,1,1,-1.130490850926082,NA,0.23659846140372004,NA
00443,41,1,3,NA,0.24189854124606142,NA,-0.20431056802317135
00450,37,1,3,NA,-0.9646296258504995,1.2209932814549755,1.308487660240301
00467,49,1,3,-0.10225534750583043,0.015073589356416285,-0.3349712838144641,0.5539200282471461
00473,36,1,3,-1.3275370184714403,-1.5878780463956665,-0.3669890011797448,-0.33592024494365497
00478,43,1,3,-2.4988148406086186,NA,-0.1305590169196082,NA
00500,45,1,3,-1.2998519398574924,0.41578587285981705,-0.8466165307263481,0.2968823450307168
00505,49,2,1,0.37887133635660786,NA,-0.47690041435334507,NA
00545,49,2,1,-0.5579082740506146,-0.8663207499954372,1.178979925800596,0.1630952239357544
00550,38,2,1,0.5148361615219499,-0.1866466640921896,0.07626592265262347,0.09671389479971867
00561,38,2,1,-0.885177853954245,-0.06799676031289996,-0.4429978598623838,0.5802527022590833
00575,33,2,3,NA,1.2976712800593575,NA,0.35885140727189674
00576,37,2,3,NA,0.6324327538736125,NA,0.15791116956450701
00579,26,2,3,NA,-2.638160815712556,NA,-0.8912240944218018
00585,35,2,3,NA,0.7631007942458699,NA,0.5365098745773209
00613,37,2,3,0.14915410567349677,-0.17000088142967393,0.008403435124801394,-0.4555434127793586
00617,50,2,3,-0.5951778539542449,-0.6796436413266943,0.02700214013761588,-1.6507761222747062
00619,32,2,3,NA,-1.640861008153977,NA,0.7858535204969274
00621,44,2,3,0.1550595738802222,0.7715283840181661,-0.5353437542678606,0.8549444910700363
00630,46,1,1,0.31161687028045204,-0.04503001073334278,-0.07632828538845118,0.4226428900777592
00679,28,1,1,0.6893613058530159,0.18010381701136466,-0.34904228853642355,-0.2509801424971048
00681,42,1,1,-1.7119887903676947,-2.4349857676021998,-0.08550348107705877,0.06700650184851607
00684,22,1,1,-1.080000881429674,-1.5091849978365142,0.844456587220641,2.038696042173599
00698,46,1,3,-1.7511577929470603,-0.03697367654022043,-0.30871411149622635,-0.19295356644918477
00711,45,1,3,-0.1784424866781649,-0.6160973376371651,-0.49324181178708204,1.111485547015271
00714,42,1,3,-1.1506829372781266,NA,-0.1734059003071801,NA
00726,49,1,3,-1.7071517474160711,-1.8348519398574925,0.2763058543549226,-0.20661653072634842
00728,25,1,3,-0.4936950283401062,-1.767981646485426,-1.1134458320094796,-1.5571973831130428
00729,43,1,3,-0.12129162069176826,0.4143764196804902,0.7049089210786365,0.20350762609145054
00751,39,2,1,NA,0.12270040936302626,NA,0.05066510441477914
00769,44,2,1,NA,-0.33896158547824157,NA,-0.33291363474688457
00773,39,2,1,-0.8088277577335339,-0.7744806842783183,-0.7365366673217489,-0.5825854577066893
00777,42,2,1,1.5504157156319225,1.0999268444867938,0.3761374041239244,-0.8384345895801305
00791,32,2,1,-0.21952492740946128,1.2293332749006263,0.3930509305225549,0.9024301464335607
00811,46,2,1,NA,NA,NA,-2.408062119126734
00826,41,2,3,0.8132486374667721,NA,0.3021506245174643,NA
00840,43,2,3,NA,-0.5604152817887115,NA,0.17934803454309206
00842,38,2,3,0.4483673513840057,-1.843857985388482,-0.04402232268527413,-1.221636496577498
00858,29,2,3,-2.372759332478433,NA,-0.7220931921463933,NA
00870,37,2,3,-1.070371038657569,0.10178092568010734,-0.8562883536861515,-0.514851488707566
00873,43,2,3,NA,0.5312164853976085,NA,-1.4221730555509928
00904,50,1,1,-0.23336801589207415,NA,0.8362216292394232,NA
00934,49,1,1,-0.42746364603662856,-1.0227453170022383,-0.2308116922661055,-0.11282940963138605
