Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
00002,34,2,1,1.4205547537893721,1.0581584088386107,1.6948903784478369,1.6840212403730712
00003,27,2,1,0.8225987835570299,0.026366232080135353,1.831964879015654,2.0229853267726314
00005,25,2,1,-1.0849186805118929,-0.8217941527676296,-1.3758143212225151,-0.003357435546037718
00006,24,2,1,NA,-0.5141122029098787,NA,-1.1091834261204279
00007,35,2,1,0.9298216575384717,-0.5334992745510986,0.05745603132005653,0.11688557956143239
00010,39,2,1,-2.5462280598072424,1.1766074762444878,-0.6996829033494062,0.41095192919691703
00012,46,2,1,0.4503657348417386,0.7521909588040642,0.6818639499364818,1.3953009359932194
00014,43,2,1,-0.4453295653970371,0.7918994056965739,1.5272985346641592,1.8456090045916387
00015,31,2,1,0.3365007949323525,-1.1223068298085166,1.688230313913786,0.3852213887143987
00016,48,2,1,-1.6470313455958852,0.4291995131844671,1.0939777085010516,-0.27304944755820365
00017,40,2,3,0.5771177079674316,0.8761427101289432,0.8689748236967492,-0.7042526469228053
00019,45,2,3,NA,0.3410517591706523,NA,-0.20189609303237976
00028,37,2,1,NA,0.7460414067985045,-0.08929963573428204,0.6925411721776569
00029,36,2,1,-0.42318250517370376,-0.023223151856775766,0.8691050209328335,-2.0224315903327543
00048,26,2,1,0.1704651251064264,0.8836194606972404,-0.3083429392106759,0.27711206158818835
00051,32,2,1,-0.6926734363326302,-0.7722172625747058,-0.6025945420121687,-0.5646658972738795
00058,30,2,1,-0.08262877066921502,-0.7481869246850346,-0.7967960107212001,-0.4180256260118857
00078,42,2,1,-0.36211232621957473,-0.07033062928441554,-0.3131457987739762,-0.7306419402096194
00083,48,2,3,NA,0.11101792642570524,NA,1.124722451873424
00101,29,2,3,NA,1.2671566026931342,NA,0.3723998772122197
00113,29,2,3,-0.3834752892043752,0.7838642342537385,-2.2363895465965973,-0.5731818738545026
00125,48,2,3,NA,1.238724018747415,NA,1.5962695173886072
00128,33,2,3,0.3623015940771583,-0.2654626173232654,0.42879454167037523,0.7021765317312627
00138,43,2,3,-0.3589162385051579,0.7379989275199555,1.2593451683795012,0.5643589870675538
00150,35,1,1,0.23482294624031147,0.5410206547030851,0.7958940221406008,0.19294573735489257
00151,45,1,1,NA,0.843499980229972,NA,0.31615904737549655
00173,46,1,1,0.6472125694238321,-1.5493501783246768,-0.09939208038827244,-1.8263792962972625
00186,44,1,1,-0.43383269980086026,-0.8623731150843664,-0.08203611834567008,0.07274680340821112
00188,29,1,1,-1.0194024700875508,NA,0.5468409193473506,NA
00194,31,1,1,-1.8470727796754283,-0.36872644938350535,-0.03650642497506617,-0.852173987479109
00198,36,1,3,-1.5779585539618026,NA,-0.6986107465111135,NA
00209,28,1,3,NA,-0.09534705126890394,NA,0.9330401321747205
00239,26,1,3,2.114115246569614,NA,-1.4843153704978724,NA
00256,47,2,1,0.08801444640531936,0.7273355024947025,1.3787500343667236,1.1338447624975747
00264,38,2,1,0.182819312501859,0.26414605755175496,-0.5930332325491072,-0.1412106693542972
00286,48,2,1,1.7061761678001672,-0.03889756524835968,1.9361492849222754,1.4043890875939293
00296,34,2,1,1.3228656447290126,-0.06719205138324133,0.5870161547406633,1.1150438117744144
00304,30,2,1,NA,NA,NA,-0.7438726464820055
00307,29,2,1,-1.1800484169746823,1.778188012364238,-0.6309176842474776,0.5330011909163412
00310,37,2,1,-0.09801034867045608,0.5501601568890147,1.0127499216122577,0.2872046923610238
00313,36,2,3,-1.6453549537490895,0.1714375178417094,-0.8752560501476945,-0.17306783070382867
00327,44,2,3,NA,-0.20879040958345343,NA,-1.4235233773227705
00331,38,2,3,NA,2.0404326306613862,NA,0.9540305237730614
00352,48,2,3,0.14709815824000025,0.2217577095057551,-0.13983001684747456,0.009563446769863189
00359,49,2,3,0.7886848239212493,-0.822893475779403,0.24004536959693373,-2.274352362369484
00360,49,2,3,1.1508095695726224,NA,-0.6992629253992138,NA
00362,22,2,3,NA,-2.5496904818053223,NA,-0.7786882509548976
00364,25,2,3,-0.23330450100945627,0.2938754350771671,-0.31048322091971847,-0.8154625274169925
00379,36,1,1,-0.9815642244787334,-0.7664722129602591,-1.204900022358972,-1.2454831679273675
00394,28,1,1,0.1158279169741963,-0.6021880570648536,-0.35527810175936625,-0.5485872454538613
00395,27,1,1,NA,-2.030663721718561,NA,1.026126495144459
00407,24,1,1,-0.6662438739381421,-2.9813735663064915,-0.7836388743186242,-0.2650675231918415
00422,29,1,1,-0.24375202333904747,NA,0.19340921876530426,NA
00430,26,1,1,-1.293041544572853,NA,-0.9720271383719559,NA
00443,41,1,3,NA,1.7049531323703124,NA,1.637537356380083
00450,37,1,3,NA,-2.8790529946070396,-1.5303523101308405,-1.182647272282664
00467,49,1,3,1.035597970550048,-0.822953200705408,1.2927031106004934,0.8518104983546126
00473,36,1,3,-1.4530271626904996,-0.5384432240479582,0.2573953197336898,1.6487798780871334
00478,43,1,3,-2.0974167390411536,NA,0.5161016895728362,NA
00500,45,1,3,-0.03954048278095065,0.48360789475654353,1.0062672167791944,0.7008222447634506
00505,49,2,1,-0.6665924245414006,NA,-1.118595455202096,NA
00545,49,2,1,-1.4973785922823346,-0.49933125280424273,0.38320592541085313,1.3178571074022054
00550,38,2,1,-0.1262718906900946,-0.11046679941307432,0.42302712632571204,-0.10218547977621932
00561,38,2,1,-0.21145532814298085,-0.10928190514049532,-0.17937262456886016,0.393403394116891
00575,33,2,3,NA,-0.48718384546680543,NA,-1.9518431913720913
00576,37,2,3,NA,0.44814811419430434,NA,0.0703421861810356
00579,26,2,3,NA,-2.3041238618447477,NA,0.004789148062009649
00585,35,2,3,NA,-2.5094488157452224,NA,-0.31360980521992327
00613,37,2,3,0.23986064000829177,0.7202642117063595,0.514553478221272,0.31942366282961
00617,50,2,3,0.2282954683772119,0.08546930859462686,1.6249701376136378,0.23814973805844236
00619,32,2,3,NA,0.4007705113792619,NA,0.6670994976761249
00621,44,2,3,0.7290655411790496,0.47874804574432317,0.3707409708449999,0.9081863073224055
00630,46,1,1,-0.38391954935458267,2.355313214314055,1.0219283601205151,0.9235145224691381
00679,28,1,1,0.31261003208904936,-0.22103820325143453,-0.6675518412920087,-1.0096783537123117
00681,42,1,1,1.4114757442745507,-0.06358640929258019,0.7023110629820797,0.1456204467743593
00684,22,1,1,-0.8205402485130646,-0.47334883094122565,-0.2601903150856357,-1.0170648112066576
00698,46,1,3,0.7565519061508285,1.6719342080807045,1.1313876031934753,0.2538356725838108
00711,45,1,3,-1.6534700101413649,-0.38098933617610037,1.0172193115584252,-2.1369249441953304
00714,42,1,3,-1.1067562787734493,NA,-0.5833983618550355,NA
00726,49,1,3,0.5219291711985858,0.07335600042030797,1.322672148008659,0.22353189064525197
00728,25,1,3,-1.155727151679045,-1.5090963258446015,-0.5463167074182025,-0.41982594961922565
00729,43,1,3,1.0929622490424722,1.690812323249393,-0.03851669834526434,2.169242592758998
00751,39,2,1,NA,-0.021386146100274405,NA,0.9563926665416544
00769,44,2,1,NA,1.8683198201531621,NA,0.3219660214211153
00773,39,2,1,1.2842019088813967,0.2641002550301159,0.06398898466926593,0.7531503169495002
00777,42,2,1,-1.0806643169434733,-0.8092617024349769,-1.9764964139350634,-1.2906970318774442
00791,32,2,1,-0.7264727630816843,-0.0593023840325236,-0.23688549474474896,0.4346893252016648
00811,46,2,1,NA,NA,NA,-1.8324618084798254
00826,41,2,3,-1.7009221348439303,NA,-0.14326452641927892,NA
00840,43,2,3,NA,0.9188093725315606,NA,0.03976273894368055
00842,38,2,3,0.3231179215505674,-0.3752042074409301,0.58414089360274,-0.8274002289783884
00858,29,2,3,-1.1143275698225716,NA,-0.3151102892653678,NA
00870,37,2,3,-0.023862004584420768,1.8240964371613435,-1.285938878627415,-0.4265948654645361
00873,43,2,3,NA,1.2325580938745808,NA,-0.04684229378400628
00904,50,1,1,0.3654206184367164,NA,-0.14748008288213627,NA
00934,49,1,1,0.19153264198152292,0.49893398407543726,0.13638534645672906,-0.39475514442538356
00971,28,1,3,NA,-0.8408321900129371,NA,0.26532216112626317
01013,37,2,1,-2.3880926589338065,-0.3868921780231324,-2.077188205203087,-0.04868919711737963
01014,31,2,1,0.41499677733553536,-0.3554483306887722,0.908515649041521,1.6097311918365862
01020,47,2,1,NA,1.3838288930494358,NA,0.3336104675561363
01023,33,2,1,-0.0834213663285936,-1.4460045499469993,1.552194935222432,1.0657427429818846
01026,39,2,1,0.8382055934143756,NA,0.5103196959335169,NA
01027,38,2,1,0.7405427148061162,NA,0.3611013825990359,NA
01029,45,2,1,NA,-0.2810329582865204,NA,-0.6107307891952795
01040,48,2,1,0.2257706974010744,-0.8098593369217654,1.0776676247493968,0.3539014670786556
01045,35,2,1,-0.6798245010765681,1.2415623740986277,0.6849329819325809,0.7080144323974138
01065,46,2,3,-0.16303089226543807,NA,0.12756342790111785,NA
01077,39,2,3,-0.8080332697388298,-1.257440499967446,0.663200935703485,-0.3526786639328381
01086,39,2,3,-0.5927676796902202,1.4507123542953702,-1.0550748943682629,0.414388236236035
01092,45,2,3,0.1269665100229742,-1.5038356312982701,0.13671198689810204,-1.4960735077182357
01105,46,2,3,-0.009600483330070624,2.1053457727733984,0.7601570681245201,0.36018180338548866
01122,40,2,3,-1.0141672550016385,NA,0.8623993188727274,NA
01153,51,1,1,0.7032710196455281,-0.24959171155966145,0.6691928711094732,1.9135774925752198
01220,20,1,3,NA,-1.7827330950839624,NA,-0.6861444309849194
01291,32,1,3,-0.16890006443089378,0.6342235680678862,1.2875779744959586,1.4234021247626614
01313,48,1,3,-0.8585791464114643,NA,-1.1669707010260952,NA
01313,49,1,3,NA,0.7185280520555901,NA,-0.23029382344197408
