Sub,AgeAtTestingCalculated,Sex,TwinType,FA_A,FA_B,SC_A,SC_B
00002,34,2,1,0.32186158226535183,0.19576160310398844,0.4689534774194614,0.4169564322024932
00003,27,2,1,0.22899963403398318,0.06392678469278108,0.5166629166251148,0.5659312950652446
00005,25,2,1,-0.17602890796641943,-0.11248965928799765,-0.3850621403253347,0.0010898732991139566
00006,24,2,1,NA,-0.06598223821990021,NA,-0.3197151421432925
00007,35,2,1,0.1858584267104039,-0.10994476021791043,-0.012060234707363334,0.005502743646118215
00010,39,2,1,-0.44311098757968154,0.28599259633204166,-0.13865365360972862,0.14112796451670684
00012,46,2,1,0.1349549972219787,0.1666833520502509,0.22873215257047771,0.3969672144237326
00014,43,2,1,-0.12276316349475312,0.1428740914502829,0.38290139768942794,0.48371742068816975
00015,31,2,1,0.10466639946244934,-0.22231710417438572,0.4627611902989096,0.07639888156534488
00016,48,2,1,-0.35922852541288425,0.06892769526980698,0.28284936149472123,-0.0862580277771117
00017,40,2,3,0.1284438761849221,0.18410803606863116,0.2357848816126525,-0.20075895062816407
00019,45,2,3,NA,0.06477677694187163,NA,-0.06099739212839701
00028,37,2,1,NA,0.16784419617688673,0.0165208082048459,0.18501334236016628
00029,36,2,1,-0.07316645205024158,0.04358813220662313,0.22776143996193537,-0.5327455834952209
00048,26,2,1,0.05656240947497472,0.21127144464231196,-0.11053221669805226,0.05940161833424005
00051,32,2,1,-0.1411289670983005,-0.12771037081340095,-0.19802285251320964,-0.16001100841763577
00058,30,2,1,0.06691178695298111,-0.1676930643006995,-0.17750450865660472,-0.16636960893291958
00078,42,2,1,-0.06525108222042905,0.020485094738044024,-0.08672858979335832,-0.17660182422829718
00083,48,2,3,NA,0.01696989837511301,NA,0.30921650446239846
00101,29,2,3,NA,0.25973043777237353,NA,0.06519644765423918
00113,29,2,3,-0.03996990280642992,0.16938758700311002,-0.6177575883449341,-0.18707426453995746
00125,48,2,3,NA,0.22261844369663186,NA,0.4168589974067575
00128,33,2,3,0.05971372525352939,-0.016123729279797175,0.07495366897518675,0.19818963432605163
00138,43,2,3,-0.02188114145896316,0.14850324858766062,0.38713650635564895,0.14750597482593944
00150,35,1,1,0.0341824476826977,0.06860736389914308,0.15747564815525236,-0.0339267645130628
00151,45,1,1,NA,0.16447516617906116,NA,0.055719488409930885
00173,46,1,1,0.13671390625374774,-0.32724693410761024,-0.044683658609742716,-0.5354438904815554
00186,44,1,1,-0.15460625337703085,-0.21311984777729873,-0.11167414054565285,-0.042581529695147745
00188,29,1,1,-0.20094931992826223,NA,0.09315971330232016,NA
00194,31,1,1,-0.3934310916936737,-0.09124973216680365,-0.08501258393279838,-0.3070447316420556
00198,36,1,3,-0.3216337127804722,NA,-0.23890338688844576,NA
00209,28,1,3,NA,-0.043344113566814904,NA,0.16876392421408828
00239,26,1,3,0.42827888277389964,NA,-0.4780564768907725,NA
00256,47,2,1,-0.018041000999380576,0.2283703185372196,0.3482565327368332,0.38985821997969367
00264,38,2,1,0.08622589795458756,0.03839828392671475,-0.13491934471951383,-0.07095760468353353
00286,48,2,1,0.3748974999866866,-0.028379327193501693,0.5636874883887005,0.37206602224192536
00296,34,2,1,0.3007390061234736,0.022796612595833012,0.16366047578547993,0.31263092093883676
00304,30,2,1,NA,NA,NA,-0.19953677768756803
